latitude,longitude,cumulative_distance,terrain
10.0173749,76.3515668,586.0061137989138,"civil station, road"
10.0173998,76.3514589,586.0182596352913,"civil station, road"
10.0173327,76.3514739,586.02586143369,"civil station, road"
10.0174485,76.351381,586.042225669873,"civil station, road"
10.0175761,76.3511581,586.0704457795572,"civil station, road"
10.0176189,76.351025,586.0857866926738,"civil station, road"
10.0176421,76.3509461,586.0948093725681,"civil station, road"
10.0177251,76.3506824,586.1251423291113,"civil station, road"
10.0177521,76.3506078,586.1338491666235,"civil station, road"
10.0178235,76.3504462,586.1532463943353,"civil station, road"
10.0178268,76.350436,586.1544227174028,"civil station, road"
10.0178835,76.3503074,586.1698534957594,"civil station, road"
10.0179311,76.3502142,586.1813479974049,"civil station, road"
10.0172325,76.452062,597.3475425435763,"civil station, road"
10.017982,76.3499448,608.5433110390627,"civil station, road"
10.0179661,76.3498918,608.549381919468,"civil station, road"
10.0179577,76.3498808,608.550904284107,"civil station, road"
10.0179528,76.3498608,608.5531629404569,"civil station, road"
10.0179354,76.3498599,608.555090045309,"civil station, road"
10.0179334,76.3498641,608.5556008876329,"civil station, road"
10.0179244,76.3499067,608.5603761800663,"civil station, road"
10.0179199,76.3498955,608.56170111898,"civil station, road"
10.0179203,76.349893,608.5619787503105,"civil station, road"
10.0179204,76.3498932,608.5620033088104,"civil station, road"
10.0179256,76.3498833,608.5632316567164,"civil station, road"
10.0179317,76.3498776,608.5641512999233,"civil station, road"
10.0179317,76.3498776,608.5641512999233,"civil station, road"
10.0179375,76.3498755,608.5648328871339,"civil station, road"
10.0179379,76.3498754,608.5648784683946,"civil station, road"
10.0179427,76.3498726,608.5654917435407,"civil station, road"
10.0179443,76.3498713,608.5657189707629,"civil station, road"
10.0179442,76.3498713,608.565730031551,"civil station, road"
10.0179458,76.3498707,608.5659188338698,"civil station, road"
10.0179459,76.3498707,608.5659298946582,"civil station, road"
10.017948,76.3498683,608.566280871217,"civil station, road"
10.0179489,76.3498659,608.5665621926872,"civil station, road"
10.0179489,76.3498657,608.5665841193559,"civil station, road"
10.0179492,76.3498638,608.5667950490948,"civil station, road"
10.0179492,76.3498637,608.5668060124284,"civil station, road"
10.017952,76.3498599,608.5673251237033,"civil station, road"
10.017954,76.3498572,608.5676946617222,"civil station, road"
10.017954,76.3498572,608.5676946617222,"civil station, road"
10.0179549,76.3498559,608.5678685079978,"civil station, road"
10.0179551,76.3498556,608.5679081453079,"civil station, road"
10.0179553,76.3498547,608.568009264714,"civil station, road"
10.0179554,76.3498543,608.5680544914319,"civil station, road"
10.0179559,76.3498523,608.5682806250275,"civil station, road"
10.017956,76.3498518,608.568336546475,"civil station, road"
10.017958,76.34985,608.5686329912354,"civil station, road"
10.0179586,76.3498495,608.568719067624,"civil station, road"
10.0179601,76.3498487,608.5689067354007,"civil station, road"
10.0179606,76.3498481,608.5689926745342,"civil station, road"
10.0179608,76.3498479,608.5690238216519,"civil station, road"
10.0179612,76.3498475,608.5690861158865,"civil station, road"
10.0179613,76.3498474,608.5691016894447,"civil station, road"
10.0179619,76.3498463,608.5692393405789,"civil station, road"
10.0179621,76.3498461,608.5692704876963,"civil station, road"
10.0179632,76.3498443,608.5695023202746,"civil station, road"
10.0179634,76.349844,608.569541957584,"civil station, road"
10.0179648,76.3498425,608.569767839519,"civil station, road"
10.0179649,76.3498424,608.569783413077,"civil station, road"
10.0179646,76.349843,608.5698570885689,"civil station, road"
10.0179646,76.349843,608.5698570885689,"civil station, road"
10.0179649,76.349844,608.5699716334849,"civil station, road"
10.0179649,76.3498442,608.5699935601524,"civil station, road"
10.0179597,76.3498397,608.5707513229221,"civil station, road"
10.0179567,76.3498366,608.571226311378,"civil station, road"
10.0179542,76.3498339,608.5716313855452,"civil station, road"
10.0179453,76.3498292,608.5727424991599,"civil station, road"
10.0179412,76.3498259,608.5733226261447,"civil station, road"
10.0179384,76.3498221,608.573841737431,"civil station, road"
10.0179365,76.3498176,608.5743779830774,"civil station, road"
10.0179374,76.3498066,608.5755880514888,"civil station, road"
10.0179394,76.3498015,608.5761893524455,"civil station, road"
10.0179412,76.3497985,608.5765738179562,"civil station, road"
10.0179421,76.3497948,608.576991497464,"civil station, road"
10.0179432,76.3497914,608.5773836050256,"civil station, road"
10.017944,76.3497878,608.5777880826626,"civil station, road"
10.0179445,76.3497847,608.5781324162682,"civil station, road"
10.017945,76.3497815,608.5784875752433,"civil station, road"
10.0179453,76.3497769,608.5789929790963,"civil station, road"
10.0179456,76.3497733,608.5793890515637,"civil station, road"
10.0179465,76.3497674,608.5800435035239,"civil station, road"
10.0179421,76.349758,608.5811831932294,"civil station, road"
10.0179426,76.3497549,608.581527526839,"civil station, road"
10.017942,76.3497494,608.5821341513108,"civil station, road"
10.0179403,76.3497399,608.5831925055732,"civil station, road"
10.0179395,76.3497356,608.5836721615253,"civil station, road"
10.0179392,76.3497313,608.58414475128,"civil station, road"
10.0179391,76.3497275,608.584561504796,"civil station, road"
10.0179364,76.3497138,608.5860928835954,"civil station, road"
10.017932,76.3497075,608.5869378126157,"civil station, road"
10.0179309,76.3496958,608.5882262801709,"civil station, road"
10.0179308,76.3496777,608.5902106745947,"civil station, road"
10.0179315,76.3496673,608.5913534872175,"civil station, road"
10.0178897,76.3496703,608.595988580649,"civil station, road"
10.0178647,76.3496657,608.5987993896173,"civil station, road"
10.0178465,76.3496646,608.6008160621611,"civil station, road"
10.0178246,76.3496497,608.6037377128713,"civil station, road"
10.017826,76.3496451,608.604265264777,"civil station, road"
10.017827,76.3496399,608.6048459891584,"civil station, road"
10.0178244,76.3496348,608.6054747412421,"civil station, road"
10.017819,76.3496278,608.6064472128057,"civil station, road"
10.0178113,76.3496182,608.6078011238983,"civil station, road"
10.0178065,76.3496155,608.6084089855287,"civil station, road"
10.0178018,76.3496118,608.6090683777021,"civil station, road"
10.0177974,76.3496078,608.6097234837555,"civil station, road"
10.0178364,76.3495978,608.6141743286092,"civil station, road"
10.0178356,76.3495954,608.6144519290773,"civil station, road"
10.0178345,76.3495922,608.6148232547027,"civil station, road"
10.0178331,76.3495882,608.6152883251212,"civil station, road"
10.0178312,76.3495837,608.6158245709139,"civil station, road"
10.0178253,76.3495701,608.6174521433102,"civil station, road"
10.017822,76.349563,608.6183118707778,"civil station, road"
10.0178182,76.3495512,608.6196721107334,"civil station, road"
10.0178168,76.3495441,608.62046576103,"civil station, road"
10.0178108,76.3495373,608.6214638634682,"civil station, road"
10.017806,76.349534,608.6221063320577,"civil station, road"
10.0178121,76.3495199,608.623792992608,"civil station, road"
10.0178207,76.3495148,608.6248963787514,"civil station, road"
10.0178272,76.3495072,608.625996894987,"civil station, road"
10.0178294,76.3495043,608.6263972659108,"civil station, road"
10.0178296,76.3494959,608.6273184519752,"civil station, road"
10.0178296,76.3494899,608.6279762522665,"civil station, road"
10.017829,76.3494824,608.6288011764683,"civil station, road"
10.0178286,76.3494765,608.6294495247562,"civil station, road"
10.0178278,76.3494694,608.630232935081,"civil station, road"
10.0178251,76.3494512,608.632250487739,"civil station, road"
10.0178238,76.3494466,608.6327748996083,"civil station, road"
10.017822,76.3494406,608.6334621693782,"civil station, road"
10.0178128,76.3494378,608.6345250556699,"civil station, road"
10.0178054,76.3494344,608.6354244358536,"civil station, road"
10.0177984,76.3494292,608.6363859335605,"civil station, road"
10.0177922,76.3494234,608.6373211417139,"civil station, road"
10.0177852,76.3494127,608.6387266955261,"civil station, road"
10.01778,76.3494064,608.6396255077433,"civil station, road"
10.0177757,76.3494014,608.6403512457367,"civil station, road"
10.0177486,76.3494054,608.6433806284938,"civil station, road"
10.0177129,76.349411,608.6473767733784,"civil station, road"
10.0177036,76.3493994,608.6490124597328,"civil station, road"
10.0176989,76.3493945,608.6497600152513,"civil station, road"
10.0176938,76.3493896,608.6505389869776,"civil station, road"
10.0176776,76.3493799,608.6526226452717,"civil station, road"
10.0176699,76.3493779,608.6535020984913,"civil station, road"
10.0176635,76.3493767,608.6542221102629,"civil station, road"
10.0176577,76.349377,608.6548644785374,"civil station, road"
10.0176513,76.3493724,608.6557336398124,"civil station, road"
10.0176459,76.3493683,608.6564811651415,"civil station, road"
10.0176413,76.3493649,608.6571118940537,"civil station, road"
10.0176355,76.3493636,608.6577690608415,"civil station, road"
10.0176212,76.349358,608.6594657290917,"civil station, road"
10.0176199,76.3493593,608.6596681854568,"civil station, road"
10.0176204,76.3493617,608.6599370549611,"civil station, road"
10.0176264,76.3493648,608.6606826654909,"civil station, road"
10.0176337,76.349369,608.6616121703254,"civil station, road"
10.0176389,76.3493729,608.6623288478299,"civil station, road"
10.017645,76.3493773,608.6631582623004,"civil station, road"
10.0176568,76.3493849,608.6647067203793,"civil station, road"
10.017661,76.349387,608.6652251946246,"civil station, road"
10.0176686,76.3493905,608.6661492512169,"civil station, road"
10.0176737,76.3493933,608.6667914675651,"civil station, road"
10.0176809,76.3493974,608.6677059420338,"civil station, road"
10.0176872,76.3494007,608.6684910941283,"civil station, road"
